"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Donut","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2004-07-13","massachusetts","nantucket","SQUAMSWAMP","RedMapleTupeloSwamp",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2006-07-15","massachusetts","nantucket","MAS-NBI","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2005-07-16","massachusetts","nantucket","Mowed-F","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-16","massachusetts","nantucket","Mowed-F","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2006-07-16","massachusetts","nantucket","Madequecham","PineHeathBarren",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2006-07-17","massachusetts","nantucket","SheepPond","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2008-07-17","massachusetts","nantucket","RAM-C","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-07-17","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-07-17","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-07-18","massachusetts","nantucket","RAM-A","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-07-18","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-07-18","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-07-18","massachusetts","nantucket","RAM-5","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-07-18","massachusetts","nantucket","RAM-C","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-07-19","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
